X,Y,ID,SER,PERMIT,CR,DR,LOCATION,DATE,CD,TG,GD,MODEL,THEME,CITY,LAT,LON,TOOLTIP
-118.199999999866,34.0278000001421,799,CD148,,NW,SB,LORENA NS WHITTIER,1982/09/09 00:00:00+00,14,635,C7,B,AD SHELTERS,LOS ANGELES,34.0278,-118.2,Type: AD SHELTERS\nLocation:  LORENA NS WHITTIER\nCouncil District:  14\nDate:  9/9/1982\nSerial: CD148\nPermit:  
-118.255799999989,34.0404999999655,800,CD765,,NE,NB,MAIN FS OLYMPIC,1990/11/16 00:00:00+00,14,634,E5,A,AD SHELTERS,LOS ANGELES,34.0405,-118.2558,Type: AD SHELTERS\nLocation:  MAIN FS OLYMPIC\nCouncil District:  14\nDate:  11/16/1990\nSerial: CD765\nPermit:  
-118.255799999989,34.0404999999655,801,CD766,,NW,SB,MAIN NS OLYMPIC,1990/11/16 00:00:00+00,14,634,E5,A,AD SHELTERS,LOS ANGELES,34.0405,-118.2558,Type: AD SHELTERS\nLocation:  MAIN NS OLYMPIC\nCouncil District:  14\nDate:  11/16/1990\nSerial: CD766\nPermit:  
-118.205799999896,34.0565000001317,802,CD837,,NE,WB,MARENGO NS CUMMINGS,1993/10/28 00:00:00+00,14,635,B3,A,AD SHELTERS,LOS ANGELES,34.0565,-118.2058,Type: AD SHELTERS\nLocation:  MARENGO NS CUMMINGS\nCouncil District:  14\nDate:  10/28/1993\nSerial: CD837\nPermit:  
-118.210399999828,34.0629000001487,803,CD194,,SW,SB,MISSION RD. FS GRIFFIN,1983/03/11 00:00:00+00,14,635,A2,A,AD SHELTERS,LOS ANGELES,34.0629,-118.2104,Type: AD SHELTERS\nLocation:  MISSION RD. FS GRIFFIN\nCouncil District:  14\nDate:  3/11/1983\nSerial: CD194\nPermit:  
-118.213300000067,34.0607999999372,804,CD193,,SE,NB,MISSION RD. NS WORKMAN,1983/03/11 00:00:00+00,14,635,A2,A,AD SHELTERS,LOS ANGELES,34.0608,-118.2133,Type: AD SHELTERS\nLocation:  MISSION RD. NS WORKMAN\nCouncil District:  14\nDate:  3/11/1983\nSerial: CD193\nPermit:  
-118.210399999828,34.0629000001487,805,CD208,,SE,NB,MISSION RD. NS ZONAL,1983/04/25 00:00:00+00,14,635,A2,A,AD SHELTERS,LOS ANGELES,34.0629,-118.2104,Type: AD SHELTERS\nLocation:  MISSION RD. NS ZONAL\nCouncil District:  14\nDate:  4/25/1983\nSerial: CD208\nPermit:  
-118.197100000075,34.0186999998285,806,CD199,,SW,EB,OLYMPIC NS CALADA,1983/03/07 00:00:00+00,14,675,C1,A,AD SHELTERS,LOS ANGELES,34.0187,-118.1971,Type: AD SHELTERS\nLocation:  OLYMPIC NS CALADA\nCouncil District:  14\nDate:  3/7/1983\nSerial: CD199\nPermit:  
-118.24230000022,34.0303000001151,807,CD646,,SE,EB,OLYMPIC FS CENTRAL,1993/11/04 00:00:00+00,14,634,G6,A,AD SHELTERS,LOS ANGELES,34.0303,-118.2423,Type: AD SHELTERS\nLocation:  OLYMPIC FS CENTRAL\nCouncil District:  14\nDate:  11/4/1993\nSerial: CD646\nPermit:  
-118.209500000202,34.0201999998871,808,CD197,,SE,EB,OLYMPIC FS GRANDE VISTA,1983/03/07 00:00:00+00,14,675,A1,A,AD SHELTERS,LOS ANGELES,34.0202,-118.2095,Type: AD SHELTERS\nLocation:  OLYMPIC FS GRANDE VISTA\nCouncil District:  14\nDate:  3/7/1983\nSerial: CD197\nPermit:  
-118.194699999877,34.0186999998285,809,CD200,,NE,WB,OLYMPIC NS LOS PALOS,1983/03/07 00:00:00+00,14,675,C1,A,AD SHELTERS,LOS ANGELES,34.0187,-118.1947,Type: AD SHELTERS\nLocation:  OLYMPIC NS LOS PALOS\nCouncil District:  14\nDate:  3/7/1983\nSerial: CD200\nPermit:  
-118.2166999999,34.023299999892,810,CD196,,NE,WB,OLYMPIC NS ORME,1983/03/07 00:00:00+00,14,675,A1,A,AD SHELTERS,LOS ANGELES,34.0233,-118.2167,Type: AD SHELTERS\nLocation:  OLYMPIC NS ORME\nCouncil District:  14\nDate:  3/7/1983\nSerial: CD196\nPermit:  
0,0,811,IG012,,NW,SB,Soto NS 1st.,1995/12/20 00:00:00+00,14,635,B5,DOME,LANI KIOSK,LA LANI,,,Type: LANI KIOSK\nLocation:  Soto NS 1st.\nCouncil District:  14\nDate:  12/20/1995\nSerial: IG012\nPermit:  
-118.210899999869,34.0406999998754,812,CD201,,SE,NB,SOTO NS 4TH,1983/03/09 00:00:00+00,14,635,A5,A,AD SHELTERS,LOS ANGELES,34.0407,-118.2109,Type: AD SHELTERS\nLocation:  SOTO NS 4TH\nCouncil District:  14\nDate:  3/9/1983\nSerial: CD201\nPermit:  
-118.210899999869,34.0406999998754,813,CD542,,NW,SB,SOTO NS 4TH,1988/08/12 00:00:00+00,14,635,A5,A,AD SHELTERS,LOS ANGELES,34.0407,-118.2109,Type: AD SHELTERS\nLocation:  SOTO NS 4TH\nCouncil District:  14\nDate:  8/12/1988\nSerial: CD542\nPermit:  
-118.212900000034,34.0375000001815,814,CD202,,SE,NB,SOTO NS 6TH,1983/03/09 00:00:00+00,14,635,A5,A,AD SHELTERS,LOS ANGELES,34.0375,-118.2129,Type: AD SHELTERS\nLocation:  SOTO NS 6TH\nCouncil District:  14\nDate:  3/9/1983\nSerial: CD202\nPermit:  
-118.215999999842,34.0322999999896,815,CD203,,SE,NB,SOTO NS 7TH,2002/05/01 00:00:00+00,14,635,A6,D1MG,AD SHELTERS,LOS ANGELES,34.0323,-118.216,Type: AD SHELTERS\nLocation:  SOTO NS 7TH\nCouncil District:  14\nDate:  5/1/2002\nSerial: CD203\nPermit:  
